pathway	prob	threshold	decision_strategy	label
Lower GI	1	0.064	mced_test	
Lower GI	1	0.065	mced_test	
Lower GI	1	0.066	mced_test	
Lower GI	1	0.067	mced_test	
Lower GI	1	0.068	mced_test	
Lower GI	1	0.069	mced_test	
Lower GI	1	0.07	mced_test	
Lower GI	1	0.07100000000000001	mced_test	
Lower GI	1	0.07200000000000001	mced_test	
Lower GI	1	0.073	mced_test	
Lower GI	1	0.074	mced_test	
Lower GI	1	0.075	mced_test	
Lung	0	1e-9	mced_test	
Lung	0	0.001	mced_test	
Lung	0	0.002	mced_test	
Lung	0	0.003	mced_test	
Lung	0	0.004	mced_test	
Lung	0	0.005	mced_test	
Lung	0	0.006	mced_test	
Lung	0	0.007	mced_test	
Lung	0	0.008	mced_test	
Lung	0	0.009000000000000001	mced_test	
Lung	0	0.01	mced_test	
Lung	0	0.011	mced_test	
Lung	0	0.012	mced_test	
Lung	0	0.013000000000000001	mced_test	
Lung	0	0.014	mced_test	
Lung	0	0.015	mced_test	
Lung	0	0.016	mced_test	
Lung	0	0.017	mced_test	
Lung	0	0.018000000000000002	mced_test	
Lung	0	0.019	mced_test	
Lung	0	0.02	mced_test	
Lung	0	0.021	mced_test	
Lung	0	0.022	mced_test	
Lung	0	0.023	mced_test	
Lung	0	0.024	mced_test	
Lung	0	0.025	mced_test	
Lung	0	0.026000000000000002	mced_test	
Lung	0	0.027	mced_test	
Lung	0	0.028	mced_test	
Lung	0	0.029	mced_test	
Lung	0	0.03	mced_test	
Lung	0	0.031	mced_test	
Lung	0	0.032	mced_test	
Lung	0	0.033	mced_test	
Lung	0	0.034	mced_test	
Lung	0	0.035	mced_test	
Lung	0	0.036000000000000004	mced_test	
Lung	0	0.037	mced_test	
Lung	0	0.038	mced_test	
Lung	0	0.039	mced_test	
Lung	0	0.04	mced_test	
Lung	0	0.041	mced_test	
Lung	0	0.042	mced_test	
Lung	0	0.043000000000000003	mced_test	
Lung	0	0.044	mced_test	
Lung	0	0.045	mced_test	
Lung	0	0.046	mced_test	
Lung	4e-5	0.047	mced_test	
Lung	0	0.048	mced_test	
Lung	4e-5	0.049	mced_test	
Lung	2e-5	0.05	mced_test	
Lung	4e-5	0.051000000000000004	mced_test	
Lung	8e-5	0.052000000000000005	mced_test	
Lung	1.2e-4	0.053	mced_test	
Lung	2.8e-4	0.054	mced_test	
Lung	1.2e-4	0.055	mced_test	
Lung	2.6e-4	0.056	mced_test	
Lung	4e-4	0.057	mced_test	
Lung	2.8e-4	0.058	mced_test	
Lung	3.6e-4	0.059000000000000004	mced_test	
Lung	7e-4	0.06	mced_test	
Lung	0.00104	0.061	mced_test	
Lung	0.00102	0.062	mced_test	
Lung	0.00152	0.063	mced_test	
Lung	0.0015	0.064	mced_test	
Lung	0.00248	0.065	mced_test	
Lung	0.00234	0.066	mced_test	
Lung	0.00364	0.067	mced_test	
Lung	0.00412	0.068	mced_test	
Lung	0.00492	0.069	mced_test	
Lung	0.00632	0.07	mced_test	
Lung	0.0071	0.07100000000000001	mced_test	
Lung	0.00896	0.07200000000000001	mced_test	
Lung	0.01128	0.073	mced_test	
Lung	0.01192	0.074	mced_test	
Lung	0.01456	0.075	mced_test	
RDC	0	1e-9	mced_test	
RDC	0	0.001	mced_test	
RDC	0	0.002	mced_test	
RDC	0	0.003	mced_test	
RDC	0	0.004	mced_test	
RDC	0	0.005	mced_test	
RDC	0	0.006	mced_test	
RDC	0	0.007	mced_test	
RDC	0	0.008	mced_test	
RDC	2e-5	0.009000000000000001	mced_test	
RDC	0	0.01	mced_test	
RDC	2e-5	0.011	mced_test	
RDC	1e-4	0.012	mced_test	
RDC	2.4e-4	0.013000000000000001	mced_test	
