pathway	thr	estimate_trade_off_positive	lower_trade_off_positive	upper_trade_off_positive
Overall	0.061	27.145076545878588	24.594419042936224	30.85427431629601
Overall	0.062	26.425316799984593	24.030074290387336	29.920304184556834
Overall	0.063	25.750598948750273	23.52727190564695	29.009574535867074
Overall	0.064	25.1556491033703	23.09028594846401	28.22567389055329
Overall	0.065	24.63719886482302	22.654025561427343	27.443660967080294
Overall	0.066	24.199034649411026	22.268342294485176	26.911381386567616
Overall	0.067	23.821415826831803	21.924171694102643	26.49399579444916
Overall	0.068	23.53773573387428	21.624484610839854	26.277539519402943
Overall	0.069	23.309013982297927	21.368356443704904	26.166624240761422
Overall	0.07	23.17084581254069	21.119775400911035	26.171869137728343
Overall	0.07100000000000001	23.065111593431844	20.91016851783299	26.13675765702354
Overall	0.07200000000000001	23.040002119954814	20.746385269044872	26.17969113288816
Overall	0.073	23.015400739886033	20.608225513498727	26.142345825069214
Overall	0.074	23.02383573971712	20.502996139564743	26.18635111864881
Overall	0.075	23.026220536564118	20.439862380999777	26.225538165912543
Gynaecology	1e-9	-53.259451374509396	-78.95023072670197	-37.63622159212759
Gynaecology	0.001	-56.008089292208155	-85.35333156423066	-38.95178858377993
Gynaecology	0.002	-59.199633002913146	-92.75998741438674	-40.488678512212275
Gynaecology	0.003	-62.67189062998098	-102.32695455671998	-42.00096241297194
Gynaecology	0.004	-66.71953941801388	-113.26679476167699	-43.70717961375386
Gynaecology	0.005	-71.26113608625602	-127.47589919800859	-45.52463267294837
Gynaecology	0.006	-76.37520886016456	-143.83440736944016	-47.699011807346366
Gynaecology	0.007	-82.53003399130631	-168.02841739976998	-50.154609229551056
Gynaecology	0.008	-89.8550410573796	-202.24263415336057	-52.580313600143924
Gynaecology	0.009000000000000001	-97.94855385336295	-250.9739800485497	-55.07218109409854
Gynaecology	0.01	-107.81859366892895	-328.64237616770725	-58.25694231755736
Gynaecology	0.011	-120.45716044892083	-463.6596839147014	-61.22546584644597
Gynaecology	0.012	-135.37136457208564	-681.1755132375541	-62.196960409155146
Gynaecology	0.013000000000000001	-153.5339880151671	-1056.2676126653225	-54.951526096710694
Gynaecology	0.014	-172.15235711370286	-1696.747770808207	1114.6175511111626
Gynaecology	0.015	-190.2588743961726	-2251.5118875486123	2005.1159794064895
Gynaecology	0.016	-203.58356840306715	-3095.349895865747	2939.25255801364
Gynaecology	0.017	-204.81592789297028	-3784.6302219331487	3773.3210096693833
Gynaecology	0.018000000000000002	-190.394230120982	-4253.25125149697	4225.958138949484
Gynaecology	0.019	-144.01969315113018	-4493.514460533585	4403.047111309562
Gynaecology	0.02	175.6699961433411	-4157.654177209928	4277.475907539295
Gynaecology	0.021	203.08252976250824	-3795.8726805589467	3948.99382196227
Gynaecology	0.022	204.45980800699618	-3092.923600265945	3353.4563840453934
Gynaecology	0.023	193.00087794290926	-2455.9177753676067	2876.5202335836766
Gynaecology	0.024	178.10173172796533	-1805.7031792251773	2242.090804433715
Gynaecology	0.025	160.93919648050291	-1255.8658257702098	1596.710057502726
Gynaecology	0.026000000000000002	143.9002386212415	-768.2108902740364	1127.6933060258275
Gynaecology	0.027	129.01178192872777	-403.56338844915854	855.6968566287943
Gynaecology	0.028	115.68122160897263	61.86902119021213	639.5878931015968
Gynaecology	0.029	104.61938862265704	62.52050696326958	445.96776297589196
Gynaecology	0.03	95.39654588107935	60.66377642613796	347.6451477258794
Gynaecology	0.031	87.85529568918562	58.466435621070715	270.04449826707736
Gynaecology	0.032	81.41382250431957	56.226203075027144	217.85593411716204
Gynaecology	0.033	76.53278991140422	54.04200005997432	182.76340191632522
Gynaecology	0.034	72.48984024730457	51.93945681179632	154.57054958694505
Gynaecology	0.035	69.17260663197402	50.55044417824303	134.6332587368643
Gynaecology	0.036000000000000004	66.56717662628199	49.08005629926868	118.39773125340841
