pathway	thr	estimate_trade_off_positive	lower_trade_off_positive	upper_trade_off_positive
Upper GI	0.012	248.10188587184172	-3576.1481219981347	3764.5566577685045
Upper GI	0.013000000000000001	227.2082689648509	-2799.1939198695886	3007.364697520999
Upper GI	0.014	203.6097674756333	-1934.2457278394993	2301.542482847577
Upper GI	0.015	179.9938355977651	-1224.5325650733212	1580.2293337885444
Upper GI	0.016	158.67147539520295	-700.7094290122329	1195.945066087613
Upper GI	0.017	141.2294561112974	-289.2303625515347	834.8374773929191
Upper GI	0.018000000000000002	124.4813081741346	74.61580942040122	585.7327653756971
Upper GI	0.019	112.07174137714568	71.32478243038958	430.6373266217361
Upper GI	0.02	101.31555536056456	67.5174787658895	332.93668345693345
Upper GI	0.021	92.41076335992568	63.76998190301698	261.7413680422869
Upper GI	0.022	84.88828636104799	60.13543715050375	213.13565905749644
Upper GI	0.023	78.3945543497913	56.771857771667996	179.63534245017954
Upper GI	0.024	72.84913003022646	53.9178322296087	151.99688758575445
Upper GI	0.025	67.92451488722583	51.15857482538436	132.65845123506384
Upper GI	0.026000000000000002	63.68882387869134	48.7250306057625	118.48618865741044
Upper GI	0.027	59.845854258951476	46.47467322151468	105.6035973634173
Upper GI	0.028	56.49060976812833	44.57750145514826	95.82411335257393
Upper GI	0.029	53.59750970260306	42.573061488418794	86.81473274190789
Upper GI	0.03	50.83894852536583	40.9427375899186	81.02311896209044
Upper GI	0.031	48.47364708438115	39.27310412097264	74.74098229279097
Upper GI	0.032	46.18354972992043	37.856937487155214	70.06125692977324
Upper GI	0.033	44.188345879519105	36.50299283864487	65.20841596348109
Upper GI	0.034	42.3754329011997	35.24292990435342	61.243941641826666
Upper GI	0.035	40.712204814093575	34.11531354974247	57.57324422260719
Upper GI	0.036000000000000004	39.210974242270225	33.02148432554826	54.7035255924238
Upper GI	0.037	37.8036970741174	32.01839809112118	51.97589860203336
Upper GI	0.038	36.54606249837907	31.087571388939498	49.51970125285284
Upper GI	0.039	35.44323528826209	30.220440926368664	47.539331220667954
Upper GI	0.04	34.43266772944937	29.464767982182078	45.61454917827562
Upper GI	0.041	33.500842034330944	28.71506136398344	44.10261315423938
Upper GI	0.042	32.69957470996596	28.014814112243005	42.87694840169638
Upper GI	0.043000000000000003	31.96716544198746	27.371529434753555	41.941313571087775
Upper GI	0.044	31.312801285966827	26.722293496803065	41.33354146793704
Upper GI	0.045	30.732800311558307	26.173786917928975	40.938535643684006
Upper GI	0.046	30.257848696380318	25.65836644770257	40.67070388144746
Upper GI	0.047	29.858124961153152	25.12695607006153	40.488354603083046
Upper GI	0.048	29.487210925844433	24.67592553319713	40.359175744939584
Upper GI	0.049	29.18150327298239	24.20852819948538	40.581681970940906
Upper GI	0.05	29.003120177702662	23.84062766987703	40.39785556925139
Upper GI	0.051000000000000004	28.888223796291534	23.451079538281686	40.463042019023355
Upper GI	0.052000000000000005	28.781924598797232	23.10119811751313	40.5003879831352
Upper GI	0.053	28.72706117173899	22.81145689213613	40.446393418024385
Upper GI	0.054	28.719049933033375	22.489275136229704	40.66065369533451
Upper GI	0.055	28.671572016483225	22.22134275798769	40.608339299476526
Upper GI	0.056	28.649065422687375	22.040351298871094	40.62763788230578
Upper GI	0.057	28.673832841531304	21.854322729686775	40.54442092229144
Upper GI	0.058	28.722416465233714	21.663854434569604	40.807666194251745
Upper GI	0.059000000000000004	28.724132119355367	21.501862546536533	40.63844167551872
Upper GI	0.06	28.75452711576674	21.4259581745831	40.810522091586215
Upper GI	0.061	28.74792864361381	21.264667523449834	40.918720351345826
Upper GI	0.062	28.734815135436854	21.212008167186518	40.853966399648705
Upper GI	0.063	28.784906114630743	21.20939685419385	40.966683751958186
Upper GI	0.064	28.820296599373332	21.186154571772956	41.01283608591832
Upper GI	0.065	28.82111055388224	21.15233509241503	40.90695900226812
Upper GI	0.066	28.826055359374735	21.154248985702573	41.02959757210385
Upper GI	0.067	28.83662271421532	21.12968801634095	41.22905082068965
Upper GI	0.068	28.85516325277566	21.22543989699752	41.02995091826371
Upper GI	0.069	28.907071026250428	21.159664940402582	41.14056201311322
Upper GI	0.07	28.904225587002685	21.16941656842687	41.28698933037637
Upper GI	0.07100000000000001	28.906919759741008	21.20339452450286	41.288277467311126
Upper GI	0.07200000000000001	28.982021297381067	21.201505289568345	41.24186240785663
Upper GI	0.073	28.984777170341182	21.18608650089927	41.373966545151504
Upper GI	0.074	29.012876814566575	21.238499220746657	41.30388983779166
Upper GI	0.075	29.026509583319722	21.231232141514056	41.41860258881125
