pathway	thr	estimate	lower	upper	estimate_none	lower_none	upper_none	estimate_delta	lower_delta	upper_delta	p_useful	estimate_trade_off_negative	lower_trade_off_negative	upper_trade_off_negative
Overall	0.035	0.28874609993567385	0.1710336662131411	0.3973308281003288	-0.9288774978582823	-1.1235454403838891	-0.7445617732339266	0.28874609993567385	0.1710336662131411	0.3973308281003288	1	3.4462339652793714	2.5167943921729203	5.846802108190238
Overall	0.036000000000000004	0.3067388124814917	0.19249449893996778	0.4121996721058526	-0.875297567362219	-1.0645580670398922	-0.6961017239774285	0.3067388124814917	0.19249449893996778	0.4121996721058526	1	3.2402322559076806	2.4260087226462836	5.194953654972035
Overall	0.037	0.32356251684561227	0.212493081359382	0.42617860466157326	-0.8246138493254025	-1.0087592003631385	-0.6502611368429037	0.32356251684561227	0.212493081359382	0.42617860466157326	1	3.0769755081409236	2.3464340750150603	4.706035574434626
Overall	0.038	0.3400654244565326	0.23228762233651257	0.4394560579811213	-0.7765976953957864	-0.9558971161430557	-0.6068332121891429	0.3400654244565326	0.23228762233651257	0.4394560579811213	1	2.927337446374537	2.275540368424669	4.305007688089135
Overall	0.039	0.3555850376009586	0.2505306123231217	0.45231443458922865	-0.731043908334356	-0.9057459080368235	-0.5656323605945494	0.3555850376009586	0.2505306123231217	0.45231443458922865	1	2.801406419696749	2.210851398076563	3.991528184786687
Overall	0.04	0.3701256752033613	0.26718677730846374	0.4644559346775686	-0.6877678106259972	-0.8581022603359031	-0.5264915515796857	0.3701256752033613	0.26718677730846374	0.4644559346775686	1	2.6890006953769023	2.153056781977489	3.742700181917622
Overall	0.041	0.3838677278186413	0.28394207672995087	0.47690405945368286	-0.6466027420741434	-0.812782693010637	-0.4892600503216445	0.3838677278186413	0.28394207672995087	0.47690405945368286	1	2.5954891095489705	2.096857806474114	3.5218450597347792
Overall	0.042	0.3971407105077397	0.2991712053806516	0.4877594626002247	-0.6073979148819019	-0.7696212003199073	-0.45380147769493867	0.3971407105077397	0.2991712053806516	0.4877594626002247	1	2.510040765512301	2.050190876203567	3.342567673898759
Overall	0.043000000000000003	0.4099802812171229	0.3136136396980587	0.4977168487476385	-0.5700165680241833	-0.728467218917119	-0.41999214100435867	0.4099802812171229	0.3136136396980587	0.4977168487476385	1	2.4300500277476322	2.009174498545151	3.188636824558851
Overall	0.044	0.422180471227574	0.3290277556713572	0.5079697396328051	-0.534334373296361	-0.6891838730326391	-0.3877195923451688	0.422180471227574	0.3290277556713572	0.5079697396328051	1	2.36130482636816	1.9686212031515178	3.039257274704424
Overall	0.045	0.4333778738018747	0.34215142947372135	0.5177079670608178	-0.5002380538897753	-0.6516464536319139	-0.3568813791819429	0.4333778738018747	0.34215142947372135	0.5177079670608178	1	2.3010518046308777	1.9315909038495411	2.922682513873529
Overall	0.046	0.4444523404855994	0.3557315166790018	0.5268955956261382	-0.4676241831530411	-0.6157410959442634	-0.32738395789537894	0.4444523404855994	0.3557315166790018	0.5268955956261382	1	2.243793070988484	1.89790920309542	2.81110880851334
Overall	0.047	0.45501628804167615	0.36753908775454625	0.5362259150158876	-0.43639813670297634	-0.5813636258177898	-0.2991417460252645	0.45501628804167615	0.36753908775454625	0.5362259150158876	1	2.1915673674935263	1.8648856238099518	2.7207990479424895
Overall	0.048	0.46520676766698144	0.37970590829281775	0.5436231963139841	-0.4064731755216643	-0.5484185502799191	-0.27207629298307134	0.46520676766698144	0.37970590829281775	0.5436231963139841	1	2.1425565638882684	1.839509437440104	2.633617170994266
Overall	0.049	0.47487605966958263	0.39124030656105574	0.5517147683844765	-0.37776964132734464	-0.516818171702778	-0.24611555230994744	0.47487605966958263	0.39124030656105574	0.5517147683844765	1	2.1011871180206185	1.8125307809612787	2.555973868822117
Overall	0.05	0.48423300119041296	0.4019621279246146	0.5603335640522502	-0.3502142485007975	-0.4864818082687222	-0.22119324126374848	0.48423300119041296	0.4019621279246146	0.5603335640522502	1	2.059743422859243	1.7846512580263736	2.4877965622371137
Overall	0.051000000000000004	0.4933132051341757	0.41262435369172556	0.5681740544458834	-0.3237394593145075	-0.45733510614580625	-0.19724827574877296	0.4933132051341757	0.41262435369172556	0.5681740544458834	1	2.022620700115075	1.7600240492803434	2.4235118239242843
Overall	0.052000000000000005	0.5017083331340518	0.42244411397162074	0.5746086300917921	-0.29828293125076705	-0.42930943102761765	-0.1742242704459121	0.5017083331340518	0.42244411397162074	0.5746086300917921	1	1.9879247836152456	1.7403149685461026	2.3671770227752456
Overall	0.053	0.5099557947609891	0.4327238813373445	0.5815943074645459	-0.27378702688754514	-0.40234132855539867	-0.1520690955318383	0.5099557947609891	0.4327238813373445	0.5815943074645459	1	1.9567765668729615	1.7194116021521977	2.310942481173567
Overall	0.054	0.5182767158490418	0.4416112012739157	0.5884463384566987	-0.25019837824147945	-0.3763720446932615	-0.13073448265161908	0.5182766710055754	0.4416112012739157	0.5884463384566987	1	1.9254991098038916	1.699390300611715	2.2644353161136705
Overall	0.055	0.5254862966752509	0.45076786045071904	0.5943510756790507	-0.22746749863708876	-0.3513470984261112	-0.11017567387613507	0.5254853943030964	0.45076786045071904	0.5943496564237833	1	1.8991582644885912	1.6825112779858362	2.218436778124341
Overall	0.056	0.5331919403870873	0.45964517029538626	0.6008245933256545	-0.20554843616142662	-0.32721590023993086	-0.09035110827120423	0.5331889517261884	0.45964517029538626	0.6007912144729429	1	1.872238347396026	1.664471743235202	2.1755912269425637
