pathway	par_name	threshold	decision_strategy_name	estimate	2.5%	97.5%
Overall	net_benefit	0.07100000000000001	mced_test	0.04355984636293485	0.038266345294809385	0.049228335419008507
Overall	net_benefit	0.07200000000000001	mced_test	0.043543548225803766	0.038197989614098204	0.04917493876125649
Overall	net_benefit	0.073	mced_test	0.04351941735666272	0.038252114282655486	0.04914152863159378
Overall	net_benefit	0.074	mced_test	0.04349822052544352	0.03818783287171469	0.04912750879989318
Overall	net_benefit	0.075	mced_test	0.0434868433835204	0.038130771375528186	0.04911895022493545
Gynaecology	net_benefit	1e-9	mced_test	0.018336649709513736	0.01212378930288496	0.025854771648133244
Gynaecology	net_benefit	0.001	mced_test	0.018294602586882706	0.012089397744974067	0.02573379297179039
Gynaecology	net_benefit	0.002	mced_test	0.018284648023183428	0.012061144308092084	0.02569364094080452
Gynaecology	net_benefit	0.003	mced_test	0.018263264642999773	0.012047511826091746	0.02581320957030051
Gynaecology	net_benefit	0.004	mced_test	0.01825269894502334	0.012007936521233675	0.025738772320411957
Gynaecology	net_benefit	0.005	mced_test	0.018219600758393593	0.012005941341774472	0.02574877240013129
Gynaecology	net_benefit	0.006	mced_test	0.0182039335139024	0.011977083108220014	0.025622011133249332
Gynaecology	net_benefit	0.007	mced_test	0.018208023134617952	0.011950961428361911	0.025698696904624764
Gynaecology	net_benefit	0.008	mced_test	0.01820570560262159	0.011962363607182096	0.025623532615896415
Gynaecology	net_benefit	0.009000000000000001	mced_test	0.018167450132936778	0.01194839960095712	0.025549114475819118
Gynaecology	net_benefit	0.01	mced_test	0.018146594491690572	0.011948713768530718	0.025684411896493824
Gynaecology	net_benefit	0.011	mced_test	0.018142291994518632	0.011929072330397764	0.025624373039783786
Gynaecology	net_benefit	0.012	mced_test	0.018114052338135067	0.011872922060491045	0.025550979228269956
Gynaecology	net_benefit	0.013000000000000001	mced_test	0.018087685174736683	0.011867088307699097	0.025532286337604036
Gynaecology	net_benefit	0.014	mced_test	0.018082168169960167	0.011832413779656591	0.025507233852939747
Gynaecology	net_benefit	0.015	mced_test	0.018047621131821415	0.011804973521090941	0.025520292330750285
Gynaecology	net_benefit	0.016	mced_test	0.018045061900881433	0.011786549372978551	0.025589963971164236
Gynaecology	net_benefit	0.017	mced_test	0.01801549133206716	0.011825779230134392	0.025472303910894938
Gynaecology	net_benefit	0.018000000000000002	mced_test	0.01798612035174861	0.011757264059252285	0.02537814760177802
Gynaecology	net_benefit	0.019	mced_test	0.017983155540151764	0.011773318876514588	0.0254382685961429
Gynaecology	net_benefit	0.02	mced_test	0.017978239040680872	0.011727955963231946	0.025497769594888017
Gynaecology	net_benefit	0.021	mced_test	0.017934906206552984	0.011659658366515524	0.0254156317867959
Gynaecology	net_benefit	0.022	mced_test	0.017936878935965534	0.011750779588820776	0.02543056518700039
Gynaecology	net_benefit	0.023	mced_test	0.017915211320144713	0.011649132315199035	0.025352055300607825
Gynaecology	net_benefit	0.024	mced_test	0.01790166919556562	0.011690166761435106	0.025382378475077245
Gynaecology	net_benefit	0.025	mced_test	0.017859710576243092	0.01166564624024431	0.02540500494865118
Gynaecology	net_benefit	0.026000000000000002	mced_test	0.01785764293811637	0.01161844595400332	0.02533295380879233
Gynaecology	net_benefit	0.027	mced_test	0.0178391111853936	0.011603210240881161	0.025300498310253928
Gynaecology	net_benefit	0.028	mced_test	0.017815260284375477	0.011647463259220538	0.02525085139020081
Gynaecology	net_benefit	0.029	mced_test	0.017822113236721213	0.011600077249848304	0.02534175589028014
Gynaecology	net_benefit	0.03	mced_test	0.017809569109761305	0.011608075964357452	0.02526351683138798
Gynaecology	net_benefit	0.031	mced_test	0.017774449239443792	0.011517773435228244	0.025253087968181098
Gynaecology	net_benefit	0.032	mced_test	0.017763725385658527	0.011534351394459751	0.025265911348030513
Gynaecology	net_benefit	0.033	mced_test	0.017729953693952197	0.01150068576139602	0.025234168897492974
Gynaecology	net_benefit	0.034	mced_test	0.01771470835614937	0.011498001607499362	0.025199065641762473
Gynaecology	net_benefit	0.035	mced_test	0.017709732919278295	0.011493023249896855	0.025136372954725154
Gynaecology	net_benefit	0.036000000000000004	mced_test	0.017673921269272672	0.011403893667290707	0.025187982146631822
Gynaecology	net_benefit	0.037	mced_test	0.017653230550022745	0.01137662268311173	0.025058580562823982
Gynaecology	net_benefit	0.038	mced_test	0.017649269729664362	0.011377310640083807	0.025198442561937723
Gynaecology	net_benefit	0.039	mced_test	0.01760202546157289	0.011365605060270309	0.0250778524100302
Gynaecology	net_benefit	0.04	mced_test	0.01760186267643167	0.011414801344842683	0.025128574479453044
Gynaecology	net_benefit	0.041	mced_test	0.017598299013981935	0.011368143240042407	0.025030799370078124
Gynaecology	net_benefit	0.042	mced_test	0.01756799606233519	0.011340300368985624	0.025098723812331296
Gynaecology	net_benefit	0.043000000000000003	mced_test	0.017544078425256206	0.011340361111984939	0.025000254959746435
Gynaecology	net_benefit	0.044	mced_test	0.017536626107812356	0.011285937939636444	0.025089484518727643
Gynaecology	net_benefit	0.045	mced_test	0.017500564578446967	0.011270486259618144	0.025007403541338052
Gynaecology	net_benefit	0.046	mced_test	0.017478517472899788	0.01122818921049521	0.02500301589865276
Gynaecology	net_benefit	0.047	mced_test	0.0174650130195211	0.011273740222105508	0.0249677312822064
Gynaecology	net_benefit	0.048	mced_test	0.01745609830238694	0.011220929302413593	0.024895300737626764
Gynaecology	net_benefit	0.049	mced_test	0.01742900793909764	0.011229193283987006	0.024888132055574264
Gynaecology	net_benefit	0.05	mced_test	0.01742011701989706	0.011145719694164868	0.024920482663657987
Gynaecology	net_benefit	0.051000000000000004	mced_test	0.017414746044587797	0.011197699369161682	0.024942913690571562
Gynaecology	net_benefit	0.052000000000000005	mced_test	0.017386220921645767	0.011086203570207434	0.02489626421461129
Gynaecology	net_benefit	0.053	mced_test	0.01736604662649868	0.011141235818324513	0.024861922993840005
Gynaecology	net_benefit	0.054	mced_test	0.017317397000989276	0.011088810432736919	0.024796680238374235
Gynaecology	net_benefit	0.055	mced_test	0.01731295846996528	0.01109610180416493	0.024857337004723305
Gynaecology	net_benefit	0.056	mced_test	0.01730477236910435	0.011050172092000491	0.02479973123830265
Gynaecology	net_benefit	0.057	mced_test	0.01728428498862845	0.011026556818458409	0.024789883050692064
Gynaecology	net_benefit	0.058	mced_test	0.017251021742988506	0.01100245509986611	0.0246785883971937
Gynaecology	net_benefit	0.059000000000000004	mced_test	0.01725296031189137	0.010996957865818417	0.024758405145365238
Gynaecology	net_benefit	0.06	mced_test	0.01721679182699954	0.01101051886368237	0.02466657839440429
Gynaecology	net_benefit	0.061	mced_test	0.017213478973740644	0.010978557818569644	0.024768100725430873
Gynaecology	net_benefit	0.062	mced_test	0.01719130126334593	0.010947402880235935	0.024690815527736512
