pathway	thr	estimate	lower	upper	estimate_none	lower_none	upper_none	estimate_delta	lower_delta	upper_delta	p_useful	estimate_trade_off_negative	lower_trade_off_negative	upper_trade_off_negative
Overall	0.01	-1.3405961512471358	-1.7546928222065337	-0.9637944186260353	-5.7522904059668845	-6.436642211416775	-5.1037095979272555	-1.3405961512471358	-1.7546928222065337	-0.9637944186260353	0	-0.7498311866686	-1.0375656685297192	-0.5699003195311645
Overall	0.011	-1.133481543943813	-1.5046287639773916	-0.7865483862388459	-5.138445823606259	-5.760583828560705	-4.548826907206595	-1.133481543943813	-1.5046287639773916	-0.7865483862388459	0	-0.88587453589078	-1.2713776006130033	-0.6646157670243937
Overall	0.012	-0.9598083689885303	-1.3042455187325053	-0.6439314430135821	-4.62690867163907	-5.197201842847313	-4.086424664939378	-0.9598083689885303	-1.3042455187325053	-0.6439314430135821	0	-1.0481307907541173	-1.5529603538198273	-0.7667268053954562
Overall	0.013000000000000001	-0.8130884324136612	-1.1260594652445657	-0.5240007799907657	-4.194069543051449	-4.7204940087821345	-3.6951612291748117	-0.8130884324136612	-1.1260594652445657	-0.5240007799907657	0	-1.2376755868948146	-1.9083941064694279	-0.8880525682334838
Overall	0.014	-0.6886588602340611	-0.9818759877127339	-0.41941562051237435	-3.8230645756906316	-4.311887293869125	-3.3597925699480395	-0.6886588602340611	-0.9818759877127339	-0.41941562051237435	0	-1.4598396432764797	-2.3842698057997467	-1.0184585553950176
Overall	0.015	-0.5803154596981116	-0.8531674686802522	-0.32734787359712925	-3.5015269373112563	-3.957761474277851	-3.0691397319515032	-0.5803154596981116	-0.8531674686802522	-0.32734787359712925	0	-1.7350756223082824	-3.0548541250811487	-1.172102824760817
Overall	0.016	-0.4846211962323246	-0.7430228875460896	-0.24975237216198684	-3.220181503729303	-3.6479013821354846	-2.814818498704535	-0.4846211962323246	-0.7430228875460896	-0.24975237216198684	0	-2.0759708708148334	-4.003965974090137	-1.3458535622508578
Overall	0.017	-0.4009855626980926	-0.644282178029053	-0.17956994314566715	-2.9719355329216963	-3.374495418480456	-2.5904174105454443	-0.4009855626980926	-0.644282178029053	-0.17956994314566715	8e-5	-2.5110213167386273	-5.5613282111344615	-1.5517012755944193
Overall	0.018000000000000002	-0.3274042544008692	-0.55566751243631	-0.11693761219496521	-2.75127244775938	-3.1314678952315416	-2.3909497766262526	-0.3274042544008692	-0.55566751243631	-0.11693761219496521	9e-4	-3.078235927471881	-8.424364352938847	-1.794310879286965
Overall	0.019	-0.25982601803527094	-0.47623069929401507	-0.060594732142972084	-2.5538370557720445	-2.9140222165351455	-2.2124787357511875	-0.25982601803527094	-0.47623069929401507	-0.060594732142972084	0.00398	-3.8744335595010897	-14.87668871895905	-2.0587265304182316
Overall	0.02	-0.20008385406169482	-0.4048644716601727	-0.011227427834208643	-2.3761452029834422	-2.718321105708388	-2.0518547989636278	-0.20008385406169482	-0.4048644716601727	-0.011227427834208643	0.01848	-4.964171956562257	-29.662407914143404	-2.1661528690407756
Overall	0.021	-0.14641808936978368	-0.34430976953965303	0.03250617014000467	-2.215376383793754	-2.54125819591275	-1.9065283799653594	-0.14641808936978368	-0.34430976953965303	0.03250617014000467	0.05902	-6.318154520397695	-64.31601857402173	46.05589874724506
Overall	0.022	-0.09614219155335113	-0.2844188605691181	0.07553180821437687	-2.0692229118031293	-2.380291914280353	-1.7744134536032978	-0.09614219155335113	-0.2844188605691181	0.07553180821437687	0.14632	-7.80882708349265	-113.11724630829035	102.19042397276864
Overall	0.023	-0.050983255020388654	-0.23037420210996834	0.11294317037643731	-1.9357784373769062	-2.23332270061599	-1.6537867817075025	-0.050983255020388654	-0.23037420210996834	0.11294317037643731	0.286	-8.344158791594207	-162.67434570923422	160.0850618197605
Overall	0.024	-0.00972139624306089	-0.18038560050569324	0.14832687673263778	-1.813454335819535	-2.0986009214236567	-1.5432123324696896	-0.00972139624306089	-0.18038560050569324	0.14832687673263778	0.46306	-6.08962340120131	-192.96302689085542	188.72233959206014
Overall	0.025	0.027868544568433372	-0.13802924975822844	0.17800063779424177	-1.7009161623867537	-1.9746568845667103	-1.4414838391709024	0.027868544568433372	-0.13802924975822844	0.17800063779424177	0.64418	8.797934361563012	-182.82942327628493	180.64449006038532
Overall	0.026000000000000002	0.06327574918732103	-0.09459702095106425	0.20877229954854956	-1.5970347715257247	-1.8602470043910675	-1.3475806145874056	0.06327574918732103	-0.09459702095106425	0.20877229954854956	0.79458	9.371538045921623	-133.90504757664286	143.02310906656444
Overall	0.027	0.09572989398016661	-0.05742305669063121	0.2354340486158907	-1.5008482985062535	-1.7543119301543615	-1.2606331844175018	0.09572989398016661	-0.05742305669063121	0.2354340486158907	0.89696	8.4956374990818	-79.95565475081641	91.71548163966027
Overall	0.028	0.1260389388071378	-0.020455188249693917	0.2605383425219807	-1.4115322878453158	-1.6559436469345628	-1.17989628497402	0.1260389388071378	-0.020455188249693917	0.2605383425219807	0.95548	7.369021111875448	-34.27041180907978	56.89803998562148
Overall	0.029	0.1540593244287624	0.011833866490004579	0.28422022887806486	-1.3283760020575461	-1.564359383247164	-1.1047274475611226	0.1540593244287624	0.011833866490004579	0.28422022887806486	0.98246	6.288033699920613	3.177864093080822	33.295531633698715
